autonomy,competence,relatedness,pleasure,interest,importance,situation_requires,anxiety_guilt_avoidance,another_wants,Date,User
0,0,0,0,0,0,0,0,0,2018-11-01T09:03:42Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-11-01T09:03:58Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-11-01T09:04:21Z,Moti_P01
0,0,0,0,0,0,0,0,48,2018-11-02T04:45:24Z,Moti_P01
32,43,20,15,17,42,37,0,19,2018-11-05T05:50:17Z,Moti_P01
31,34,19,12,19,27,33,0,25,2018-11-05T05:51:07Z,Moti_P01
31,32,15,19,20,33,36,0,25,2018-11-05T05:51:46Z,Moti_P01
37,34,21,16,32,36,33,0,27,2018-11-05T05:52:30Z,Moti_P01
28,36,29,27,28,22,27,0,17,2018-11-05T06:01:14Z,Moti_P01
34,37,33,31,37,34,31,1,10,2018-11-05T11:40:18Z,Moti_P01
20,38,43,34,41,42,30,0,32,2018-11-06T05:45:10Z,Moti_P01
19,39,38,38,43,41,35,0,28,2018-11-06T05:45:56Z,Moti_P01
21,38,39,37,38,39,37,0,26,2018-11-06T05:46:45Z,Moti_P01
17,38,37,35,37,36,32,0,22,2018-11-06T08:16:44Z,Moti_P01
29,38,29,36,40,39,34,0,17,2018-11-06T11:45:43Z,Moti_P01
40,40,18,22,41,39,40,9,26,2018-11-07T05:03:52Z,Moti_P01
30,32,32,19,33,35,35,0,28,2018-11-07T11:51:28Z,Moti_P01
39,41,27,22,32,41,37,0,19,2018-11-09T05:10:30Z,Moti_P01
30,46,40,37,36,40,37,0,25,2018-11-09T05:57:16Z,Moti_P01
47,45,32,38,45,42,38,0,15,2018-11-09T07:13:56Z,Moti_P01
0,0,0,0,0,0,2,0,0,2018-11-09T10:08:05Z,Moti_P01
40,41,38,36,42,40,42,0,21,2018-11-12T06:11:47Z,Moti_P01
40,39,39,37,44,42,36,0,14,2018-11-12T08:33:37Z,Moti_P01
38,41,39,35,40,38,38,0,18,2018-11-13T06:06:45Z,Moti_P01
36,43,41,39,41,41,38,1,15,2018-11-13T09:06:39Z,Moti_P01
45,35,44,26,44,43,30,0,29,2018-11-14T08:35:20Z,Moti_P01
43,43,42,33,43,44,41,0,21,2018-11-14T10:25:35Z,Moti_P01
41,38,19,26,46,43,43,0,25,2018-11-15T04:43:03Z,Moti_P01
42,40,26,39,45,43,37,0,26,2018-11-15T07:00:28Z,Moti_P01
24,38,38,23,23,33,42,6,39,2018-11-15T07:01:19Z,Moti_P01
32,41,26,25,23,35,42,8,32,2018-11-15T11:49:13Z,Moti_P01
37,43,22,29,43,30,38,0,36,2018-11-16T04:45:50Z,Moti_P01
37,36,39,36,40,36,36,0,20,2018-11-19T05:54:23Z,Moti_P01
38,38,38,43,41,44,40,0,26,2018-11-19T07:13:25Z,Moti_P01
38,43,40,25,41,43,33,16,17,2019-01-07T07:31:07Z,Moti_P01
25,23,13,6,18,10,22,40,35,2018-10-10T04:13:21Z,Moti_P02
24,25,12,10,10,10,24,39,36,2018-10-10T07:21:20Z,Moti_P02
18,30,10,10,24,19,40,36,41,2018-10-10T08:37:54Z,Moti_P02
19,19,6,11,26,23,11,21,11,2018-10-10T09:21:48Z,Moti_P02
14,6,11,7,5,6,49,36,49,2018-10-10T12:20:11Z,Moti_P02
20,23,11,33,24,24,39,22,31,2018-10-11T07:14:56Z,Moti_P02
24,31,23,8,16,15,22,30,39,2018-10-11T08:19:26Z,Moti_P02
26,27,15,10,10,8,11,25,23,2018-10-11T09:28:00Z,Moti_P02
30,31,14,8,14,13,19,30,20,2018-10-12T03:47:06Z,Moti_P02
24,28,13,6,9,16,23,9,13,2018-10-12T05:45:06Z,Moti_P02
13,33,20,14,23,21,41,35,41,2018-10-12T09:28:32Z,Moti_P02
32,20,18,9,13,13,16,12,22,2018-10-12T10:43:28Z,Moti_P02
24,31,18,14,23,22,16,27,21,2018-10-15T04:17:28Z,Moti_P02
32,35,16,13,12,20,16,33,26,2018-10-15T06:19:05Z,Moti_P02
21,27,14,14,22,13,32,31,33,2018-10-15T07:38:41Z,Moti_P02
25,13,14,24,23,12,15,24,37,2018-10-15T09:30:13Z,Moti_P02
23,23,16,24,24,24,11,23,26,2018-10-15T11:28:20Z,Moti_P02
32,33,17,14,15,16,37,32,13,2018-10-16T03:58:29Z,Moti_P02
21,22,19,12,20,20,36,36,22,2018-10-16T07:07:45Z,Moti_P02
19,29,20,18,19,19,33,36,33,2018-10-17T04:56:32Z,Moti_P02
16,24,23,13,11,11,24,31,10,2018-10-17T08:03:42Z,Moti_P02
20,27,16,13,17,18,38,36,29,2018-10-17T11:57:51Z,Moti_P02
26,30,16,23,22,14,31,27,31,2018-10-18T05:20:52Z,Moti_P02
21,15,16,12,13,14,13,37,32,2018-10-18T07:13:53Z,Moti_P02
15,29,14,17,17,24,36,38,36,2018-10-18T09:59:06Z,Moti_P02
24,29,19,23,23,17,37,40,38,2018-10-18T10:55:47Z,Moti_P02
11,23,15,14,15,14,34,33,32,2018-10-19T03:45:38Z,Moti_P02
23,31,21,17,14,15,18,29,36,2018-10-19T05:25:07Z,Moti_P02
17,31,15,18,19,12,25,31,25,2018-10-19T08:09:38Z,Moti_P02
20,21,16,10,12,10,33,37,35,2018-10-19T10:37:10Z,Moti_P02
9,22,15,12,11,12,42,28,41,2018-10-22T03:52:52Z,Moti_P02
18,30,15,12,12,12,36,39,23,2018-10-22T08:30:10Z,Moti_P02
23,25,18,15,16,22,39,43,10,2018-10-22T09:31:03Z,Moti_P02
13,23,14,15,16,25,37,33,33,2018-10-23T04:40:27Z,Moti_P02
14,34,13,16,20,17,40,35,32,2018-10-23T05:55:35Z,Moti_P02
11,32,14,17,17,18,36,36,39,2018-10-24T04:54:05Z,Moti_P02
19,30,17,18,17,16,36,39,33,2018-10-24T07:59:48Z,Moti_P02
18,33,18,17,19,18,37,39,34,2018-10-24T08:39:09Z,Moti_P02
8,27,17,15,14,14,41,40,40,2018-10-25T10:57:19Z,Moti_P02
13,27,19,12,14,12,37,36,36,2018-10-26T04:48:34Z,Moti_P02
21,23,17,15,14,15,36,38,35,2018-10-26T09:14:06Z,Moti_P02
10,29,12,14,16,23,42,42,30,2018-10-29T04:27:24Z,Moti_P02
13,36,16,8,10,11,40,43,38,2018-10-29T07:28:17Z,Moti_P02
15,24,18,17,12,13,18,37,41,2018-10-29T11:44:11Z,Moti_P02
22,27,17,16,17,19,37,37,37,2018-10-30T05:15:09Z,Moti_P02
15,33,21,15,17,21,37,39,37,2018-10-30T10:29:52Z,Moti_P02
25,32,17,19,19,10,20,28,24,2018-10-31T08:44:09Z,Moti_P02
27,35,17,16,16,22,37,32,21,2018-10-31T09:46:06Z,Moti_P02
24,29,18,20,16,17,41,27,25,2018-10-31T12:03:18Z,Moti_P02
21,32,17,23,22,16,28,11,22,2018-11-02T05:06:21Z,Moti_P02
34,33,20,22,23,20,23,23,24,2018-11-02T06:27:02Z,Moti_P02
21,25,20,23,22,22,22,14,21,2018-11-02T12:06:55Z,Moti_P02
19,33,15,18,20,19,24,33,39,2018-11-06T06:27:35Z,Moti_P02
28,31,19,14,18,16,29,38,37,2018-11-06T07:14:43Z,Moti_P02
26,28,18,27,23,25,19,25,19,2018-11-06T08:31:22Z,Moti_P02
24,32,19,14,15,16,39,40,23,2018-11-12T04:46:33Z,Moti_P02
31,32,20,17,17,23,36,40,25,2018-11-12T07:17:08Z,Moti_P02
25,27,20,22,27,22,27,23,8,2018-11-12T08:17:43Z,Moti_P02
18,24,18,15,16,16,40,39,40,2018-11-12T12:15:22Z,Moti_P02
36,37,19,18,19,21,43,42,42,2018-11-13T06:41:07Z,Moti_P02
20,37,17,16,16,17,26,38,40,2018-11-14T05:39:24Z,Moti_P02
18,24,17,16,17,17,39,37,38,2018-11-14T06:17:22Z,Moti_P02
21,35,19,10,10,11,38,38,38,2018-11-15T05:18:41Z,Moti_P02
24,40,16,18,18,13,42,42,42,2018-11-15T06:28:11Z,Moti_P02
24,32,17,15,17,18,39,41,41,2018-11-15T08:58:30Z,Moti_P02
24,32,18,16,16,17,41,37,42,2018-11-15T10:19:20Z,Moti_P02
25,38,19,19,18,17,23,31,37,2018-11-15T11:50:41Z,Moti_P02
19,36,19,13,17,17,40,31,42,2018-11-20T05:12:21Z,Moti_P02
26,37,15,13,15,18,40,40,40,2018-11-21T06:10:36Z,Moti_P02
24,31,17,18,18,20,38,32,25,2018-11-21T08:07:45Z,Moti_P02
24,35,19,24,23,23,36,39,32,2018-11-21T12:36:12Z,Moti_P02
28,35,15,21,21,22,24,35,24,2018-11-22T06:09:13Z,Moti_P02
24,35,17,15,18,19,38,41,38,2018-11-22T10:35:30Z,Moti_P02
24,36,17,16,16,17,39,39,39,2018-11-22T12:24:21Z,Moti_P02
34,39,24,29,29,31,35,40,35,2018-11-23T10:43:28Z,Moti_P02
29,36,21,21,21,18,42,40,42,2018-11-27T06:07:02Z,Moti_P02
21,37,21,20,22,22,39,41,38,2018-11-28T08:11:48Z,Moti_P02
23,36,21,17,17,18,38,34,39,2018-12-04T11:56:09Z,Moti_P02
11,41,42,3,5,4,26,17,15,2018-10-11T07:43:19Z,Moti_P03
15,35,40,20,33,24,4,7,0,2018-10-11T08:10:38Z,Moti_P03
11,39,38,17,26,22,5,10,2,2018-10-11T09:21:07Z,Moti_P03
35,44,44,38,41,40,37,34,2,2018-10-11T12:09:56Z,Moti_P03
23,36,40,13,21,23,40,32,10,2018-10-12T04:41:38Z,Moti_P03
9,21,32,23,34,31,32,32,24,2018-10-12T07:48:50Z,Moti_P03
31,40,44,18,37,39,24,14,4,2018-10-12T09:06:11Z,Moti_P03
33,23,36,17,17,21,36,31,34,2018-10-12T10:06:01Z,Moti_P03
27,30,39,29,19,29,11,14,31,2018-10-12T11:51:28Z,Moti_P03
27,24,35,21,20,25,27,31,33,2018-10-15T04:44:47Z,Moti_P03
23,25,38,15,19,22,26,30,33,2018-10-15T05:22:50Z,Moti_P03
20,23,39,17,18,22,26,27,32,2018-10-15T06:21:28Z,Moti_P03
19,27,40,21,27,25,23,15,24,2018-10-15T09:11:13Z,Moti_P03
31,34,40,27,24,21,32,41,17,2018-10-15T11:06:30Z,Moti_P03
29,38,39,15,16,22,38,36,14,2018-10-16T04:40:02Z,Moti_P03
28,37,41,18,24,26,33,35,13,2018-10-16T07:54:58Z,Moti_P03
37,40,41,26,36,37,22,20,5,2018-10-16T11:46:26Z,Moti_P03
31,31,41,17,20,19,41,37,13,2018-10-18T04:33:38Z,Moti_P03
33,33,40,25,26,26,26,30,11,2018-10-18T07:09:52Z,Moti_P03
23,42,41,27,36,39,23,18,8,2018-10-18T08:59:38Z,Moti_P03
24,40,38,25,34,33,22,15,6,2018-10-18T11:17:19Z,Moti_P03
28,36,41,17,19,29,35,30,0,2018-10-19T05:52:58Z,Moti_P03
33,31,39,23,20,30,38,28,12,2018-10-19T06:39:38Z,Moti_P03
36,26,39,20,26,31,27,36,26,2018-10-19T11:37:05Z,Moti_P03
9,17,34,8,23,10,7,24,32,2018-10-31T06:59:32Z,Moti_P03
36,34,41,23,22,37,41,36,4,2018-10-31T12:46:41Z,Moti_P03
35,22,41,18,26,34,31,35,20,2018-11-01T05:36:28Z,Moti_P03
33,40,42,37,32,36,37,23,7,2018-11-01T09:52:30Z,Moti_P03
25,32,41,21,36,36,34,22,12,2018-11-01T13:15:33Z,Moti_P03
18,28,40,22,36,36,12,19,9,2018-11-02T11:39:41Z,Moti_P03
35,31,41,19,28,30,28,33,29,2018-11-05T12:51:07Z,Moti_P03
30,34,41,16,27,38,14,41,8,2018-11-06T10:14:34Z,Moti_P03
37,25,41,18,23,31,31,33,31,2018-11-07T07:21:40Z,Moti_P03
36,38,40,21,37,40,21,18,7,2018-11-12T07:19:54Z,Moti_P03
37,33,42,24,24,29,32,26,15,2018-11-14T12:13:32Z,Moti_P03
31,30,42,26,33,35,36,24,14,2018-11-15T05:24:30Z,Moti_P03
29,31,39,17,20,28,37,35,5,2018-11-19T09:11:27Z,Moti_P03
25,31,44,9,16,21,37,41,6,2018-11-23T12:38:19Z,Moti_P03
28,37,43,26,33,35,17,14,9,2018-11-26T10:51:10Z,Moti_P03
33,30,41,11,10,9,37,38,10,2018-11-26T12:28:27Z,Moti_P03
9,18,40,5,7,17,36,36,39,2018-11-28T12:24:06Z,Moti_P03
32,31,41,11,9,22,34,37,8,2018-11-29T13:17:30Z,Moti_P03
42,41,42,33,23,29,35,34,34,2019-01-08T10:58:38Z,Moti_P03
26,35,42,26,31,32,25,34,35,2019-01-09T06:31:18Z,Moti_P03
37,31,42,14,31,34,15,25,9,2019-01-09T12:15:41Z,Moti_P03
37,32,43,20,17,38,38,36,8,2019-01-11T05:21:40Z,Moti_P03
20,30,41,28,26,32,24,24,22,2019-01-16T08:45:33Z,Moti_P03
38,38,44,21,34,34,29,37,30,2019-01-24T06:52:48Z,Moti_P03
34,32,41,26,30,31,32,43,7,2019-01-25T05:05:43Z,Moti_P03
24,26,43,27,30,33,29,34,21,2019-01-25T12:07:03Z,Moti_P03
33,30,42,25,36,32,37,41,14,2019-01-30T07:43:41Z,Moti_P03
39,31,42,22,27,40,38,41,17,2019-01-31T05:25:58Z,Moti_P03
31,35,41,32,33,33,11,9,17,2019-02-06T07:04:14Z,Moti_P03
25,33,43,34,37,36,10,11,5,2019-02-06T10:33:07Z,Moti_P03
37,39,44,26,25,40,39,39,11,2019-02-08T05:38:57Z,Moti_P03
13,35,21,37,42,42,44,30,4,2018-10-11T07:17:43Z,Moti_P04
5,35,7,10,6,17,35,34,33,2018-10-11T12:23:32Z,Moti_P04
43,41,21,7,29,33,23,19,1,2018-10-12T07:05:30Z,Moti_P04
8,21,8,23,27,18,35,12,31,2018-10-12T08:08:34Z,Moti_P04
29,32,8,25,37,20,41,26,4,2018-10-15T07:18:08Z,Moti_P04
34,34,27,37,44,41,13,29,12,2018-10-17T05:20:38Z,Moti_P04
43,45,39,33,37,36,49,11,17,2018-10-18T09:19:11Z,Moti_P04
37,41,22,35,36,38,40,35,32,2018-10-18T10:59:50Z,Moti_P04
24,31,11,31,36,28,40,17,33,2018-10-18T12:34:22Z,Moti_P04
20,36,28,24,30,15,39,34,30,2018-10-19T08:16:06Z,Moti_P04
25,28,14,25,28,29,40,28,37,2018-10-19T08:58:05Z,Moti_P04
37,38,22,33,44,33,41,31,30,2018-10-19T12:19:34Z,Moti_P04
37,0,31,31,39,41,42,28,41,2018-10-22T12:15:50Z,Moti_P04
36,35,39,32,31,27,49,11,45,2018-10-23T05:13:15Z,Moti_P04
9,14,29,30,33,11,49,15,49,2018-10-23T10:37:37Z,Moti_P04
15,39,13,36,40,36,49,35,21,2018-10-23T13:17:32Z,Moti_P04
26,25,28,39,49,45,45,34,0,2018-10-24T04:35:44Z,Moti_P04
22,22,0,28,31,39,48,31,47,2018-10-26T06:15:47Z,Moti_P04
20,14,18,7,8,19,49,30,49,2018-10-29T10:57:20Z,Moti_P04
19,20,19,12,22,23,48,20,47,2018-10-29T13:35:12Z,Moti_P04
15,15,14,19,17,15,13,25,15,2018-10-30T10:48:14Z,Moti_P04
34,34,10,31,37,43,16,20,10,2018-10-31T05:54:11Z,Moti_P04
16,21,9,20,15,18,20,12,10,2018-11-01T09:50:38Z,Moti_P04
35,40,17,36,37,46,42,14,11,2018-11-02T05:53:50Z,Moti_P04
38,36,8,31,30,30,35,14,12,2018-11-02T13:22:17Z,Moti_P04
33,36,21,31,34,39,41,20,23,2018-11-05T09:56:48Z,Moti_P04
34,36,37,43,46,47,44,4,7,2018-11-06T10:15:45Z,Moti_P04
25,22,11,22,14,21,41,15,28,2018-11-07T06:10:34Z,Moti_P04
0,39,13,28,37,40,31,13,10,2018-11-07T12:34:09Z,Moti_P04
30,33,38,36,36,32,45,23,41,2018-11-15T10:50:39Z,Moti_P04
21,27,21,29,24,31,33,25,32,2018-11-15T13:08:20Z,Moti_P04
36,36,45,45,47,45,43,8,15,2018-11-19T06:16:59Z,Moti_P04
19,20,29,23,36,31,21,22,40,2018-11-20T06:10:13Z,Moti_P04
24,38,30,32,34,35,41,22,38,2019-01-14T09:42:50Z,Moti_P04
34,37,39,39,45,40,48,26,47,2019-01-14T11:37:55Z,Moti_P04
44,40,40,42,38,49,49,35,33,2019-01-24T12:24:49Z,Moti_P04
40,35,36,34,39,38,39,31,25,2019-01-24T14:26:30Z,Moti_P04
40,40,14,41,39,43,49,49,38,2019-01-25T06:42:50Z,Moti_P04
26,25,13,31,30,32,43,38,40,2019-01-25T12:57:53Z,Moti_P04
21,22,9,28,23,31,39,36,32,2019-01-28T10:00:27Z,Moti_P04
43,36,36,40,44,42,38,39,32,2019-01-28T10:53:56Z,Moti_P04
35,37,34,40,40,43,43,39,38,2019-01-28T11:31:23Z,Moti_P04
26,18,17,39,41,42,47,44,39,2019-01-29T12:10:51Z,Moti_P04
26,28,15,32,25,17,41,42,33,2019-01-29T13:34:10Z,Moti_P04
28,25,15,38,39,36,47,48,37,2019-01-30T14:16:24Z,Moti_P04
12,9,24,25,21,20,40,29,31,2019-01-31T08:01:17Z,Moti_P04
12,20,5,10,14,17,46,39,18,2019-02-01T06:43:59Z,Moti_P04
26,26,10,25,41,25,49,44,31,2019-02-01T13:56:04Z,Moti_P04
30,39,36,41,46,22,34,26,26,2019-02-04T08:44:49Z,Moti_P04
45,45,39,44,43,45,42,22,24,2019-02-06T09:48:34Z,Moti_P04
39,34,9,10,5,24,49,49,9,2018-10-12T04:28:21Z,Moti_P05
40,40,10,29,37,31,3,6,3,2018-10-12T08:18:59Z,Moti_P05
38,36,24,6,6,35,39,49,33,2018-10-12T10:32:11Z,Moti_P05
49,49,22,49,49,49,2,3,2,2018-10-15T04:42:08Z,Moti_P05
49,34,23,49,49,49,49,49,49,2018-10-15T08:53:27Z,Moti_P05
49,49,49,24,49,49,8,4,7,2018-10-15T11:59:01Z,Moti_P05
49,31,4,36,39,37,49,48,45,2018-10-16T04:35:05Z,Moti_P05
25,49,49,46,49,24,2,2,2,2018-10-16T06:32:01Z,Moti_P05
49,49,49,20,41,11,43,7,5,2018-10-16T08:03:47Z,Moti_P05
6,19,6,35,31,37,40,36,24,2018-10-16T11:40:28Z,Moti_P05
49,38,20,23,26,29,49,39,7,2018-10-17T05:38:53Z,Moti_P05
49,26,24,22,33,24,41,49,27,2018-10-17T07:13:46Z,Moti_P05
6,44,38,49,49,49,4,3,10,2018-10-17T09:40:00Z,Moti_P05
13,17,25,22,37,37,49,45,49,2018-10-17T10:05:05Z,Moti_P05
23,38,0,29,31,35,49,47,22,2018-10-17T12:29:33Z,Moti_P05
34,45,34,28,36,30,47,26,12,2018-10-18T08:22:53Z,Moti_P05
49,49,23,49,49,49,49,49,17,2018-10-18T10:36:53Z,Moti_P05
15,21,24,19,38,39,49,43,8,2018-10-18T12:19:35Z,Moti_P05
49,39,27,28,30,29,49,49,21,2018-10-19T11:28:55Z,Moti_P05
49,49,22,49,49,49,34,23,7,2018-10-19T11:29:56Z,Moti_P05
49,49,24,36,36,47,35,35,12,2018-10-22T05:21:32Z,Moti_P05
49,49,30,34,34,36,23,13,22,2018-10-22T06:28:35Z,Moti_P05
49,49,39,22,44,37,46,39,27,2018-10-22T08:18:20Z,Moti_P05
49,49,34,34,29,26,49,23,23,2018-10-22T12:56:06Z,Moti_P05
49,49,26,49,49,49,49,49,49,2018-10-24T05:29:56Z,Moti_P05
49,49,17,21,22,25,31,48,12,2018-10-24T06:51:58Z,Moti_P05
26,24,22,12,19,16,49,49,22,2018-10-24T08:04:01Z,Moti_P05
49,49,24,23,41,30,49,14,19,2018-10-24T08:43:25Z,Moti_P05
49,28,23,16,25,23,49,49,11,2018-10-24T12:38:44Z,Moti_P05
49,31,27,37,24,14,49,49,17,2018-10-25T04:50:04Z,Moti_P05
49,38,30,31,49,26,24,2,29,2018-10-25T07:38:11Z,Moti_P05
21,37,35,22,37,37,49,49,25,2018-10-25T11:35:11Z,Moti_P05
49,49,44,49,49,48,4,3,3,2018-10-25T13:18:47Z,Moti_P05
36,49,49,39,36,39,37,14,18,2018-10-26T05:01:16Z,Moti_P05
49,49,9,16,19,17,49,43,6,2018-10-26T09:18:50Z,Moti_P05
49,49,17,32,45,31,43,49,7,2018-10-30T07:01:09Z,Moti_P05
49,49,49,49,49,49,49,49,49,2018-10-30T07:52:24Z,Moti_P05
49,49,8,49,49,49,49,17,49,2018-10-30T09:19:06Z,Moti_P05
49,49,3,33,49,35,49,0,12,2018-10-30T09:34:39Z,Moti_P05
49,49,49,40,42,40,22,9,22,2018-10-30T12:35:47Z,Moti_P05
49,49,49,49,49,49,49,49,49,2018-11-01T06:32:06Z,Moti_P05
21,44,41,49,49,49,49,49,49,2018-11-01T10:32:21Z,Moti_P05
31,49,30,35,28,38,47,32,15,2018-11-01T11:44:26Z,Moti_P05
49,31,49,28,31,29,49,49,49,2018-11-01T11:54:51Z,Moti_P05
49,13,29,9,9,9,49,49,49,2018-11-01T13:04:58Z,Moti_P05
49,21,31,32,33,13,42,49,26,2018-11-02T05:48:19Z,Moti_P05
49,36,38,49,49,49,33,26,16,2018-11-02T07:32:36Z,Moti_P05
49,31,32,49,49,49,49,49,49,2018-11-02T08:21:44Z,Moti_P05
49,49,17,49,49,49,49,30,29,2018-11-02T09:19:56Z,Moti_P05
27,35,38,33,31,40,32,0,15,2018-11-02T12:30:34Z,Moti_P05
25,38,33,35,32,32,20,8,16,2018-11-02T13:04:10Z,Moti_P05
49,49,25,28,27,21,49,45,29,2018-11-05T06:02:05Z,Moti_P05
36,35,28,40,43,42,37,8,20,2018-11-06T05:34:28Z,Moti_P05
49,36,35,49,49,49,49,49,42,2018-11-07T10:24:50Z,Moti_P05
49,31,16,28,32,17,41,40,18,2018-11-08T05:41:38Z,Moti_P05
49,35,11,29,28,29,40,49,26,2018-11-12T05:41:51Z,Moti_P05
49,38,17,35,37,29,36,32,21,2018-11-13T06:10:50Z,Moti_P05
39,37,37,23,22,23,31,23,15,2018-11-13T07:27:44Z,Moti_P05
45,36,31,22,25,25,36,18,25,2018-11-13T07:48:29Z,Moti_P05
47,28,48,25,26,27,39,40,15,2018-11-13T09:03:46Z,Moti_P05
27,26,49,21,25,27,39,14,25,2018-11-15T09:47:47Z,Moti_P05
49,49,46,28,28,27,16,30,16,2018-11-15T12:13:49Z,Moti_P05
8,35,35,22,23,23,42,41,23,2018-11-15T13:26:59Z,Moti_P05
49,49,31,25,23,33,31,20,18,2018-11-16T06:31:00Z,Moti_P05
49,34,23,39,45,39,40,38,12,2018-11-16T07:53:54Z,Moti_P05
49,33,23,47,49,49,49,49,32,2018-11-16T09:24:08Z,Moti_P05
49,30,27,18,20,35,44,47,27,2018-11-16T12:16:56Z,Moti_P05
39,37,20,23,23,17,42,26,20,2018-11-16T12:49:31Z,Moti_P05
49,49,9,24,37,39,47,37,4,2018-11-16T13:03:45Z,Moti_P05
